 16.15,  0.58,  0.58,  0.59
 16.20,  0.58,  0.58,  0.59
 16.25,  0.58,  0.58,  0.59
 16.30,  0.58,  0.58,  0.59
 16.35,  0.58,  0.58,  0.59
 16.40,  0.58,  0.58,  0.59
 16.45,  0.58,  0.58,  0.59
 16.50,  0.58,  0.58,  0.59
 16.55,  0.58,  0.58,  0.59
 16.60,  0.58,  0.58,  0.59
 16.65,  0.58,  0.58,  0.59
 16.70,  0.58,  0.58,  0.59
 16.75,  0.58,  0.58,  0.59
 16.80,  0.58,  0.58,  0.59
 16.85,  0.58,  0.59,  0.59
 16.90,  0.58,  0.59,  0.59
 16.95,  0.58,  0.59,  0.59
 17.00,  0.58,  0.59,  0.59
 17.05,  0.58,  0.59,  0.59
 17.10,  0.58,  0.59,  0.59
 17.15,  0.58,  0.59,  0.59
 17.20,  0.58,  0.59,  0.59
 17.25,  0.58,  0.59,  0.59
 17.30,  0.58,  0.59,  0.59
 17.35,  0.58,  0.59,  0.59
 17.40,  0.58,  0.59,  0.59
 17.45,  0.58,  0.59,  0.59
 17.50,  0.58,  0.59,  0.59
 17.55,  0.58,  0.59,  0.59
 17.60,  0.58,  0.59,  0.59
 17.65,  0.58,  0.59,  0.59
 17.70,  0.58,  0.59,  0.59
 17.75,  0.58,  0.59,  0.59
 17.80,  0.58,  0.59,  0.59
 17.85,  0.58,  0.59,  0.59
 17.90,  0.58,  0.59,  0.59
 17.95,  0.58,  0.59,  0.59
 18.00,  0.58,  0.59,  0.59
 18.05,  0.58,  0.59,  0.59
 18.10,  0.58,  0.59,  0.59
 18.15,  0.58,  0.59,  0.59
 18.20,  0.58,  0.59,  0.59
 18.25,  0.58,  0.59,  0.59
 18.30,  0.58,  0.59,  0.59
 18.35,  0.58,  0.59,  0.59
 18.40,  0.58,  0.59,  0.59
 18.45,  0.58,  0.59,  0.59
 18.50,  0.58,  0.59,  0.59
 18.55,  0.58,  0.59,  0.59
 18.60,  0.58,  0.59,  0.59
 18.65,  0.59,  0.59,  0.59
 18.70,  0.59,  0.59,  0.59
 18.75,  0.59,  0.59,  0.59
 18.80,  0.59,  0.59,  0.59
 18.85,  0.59,  0.59,  0.59
 18.90,  0.59,  0.59,  0.59
 18.95,  0.59,  0.59,  0.59
 19.00,  0.59,  0.59,  0.59
 19.05,  0.59,  0.59,  0.59
 19.10,  0.59,  0.59,  0.59
 19.15,  0.59,  0.59,  0.59
 19.20,  0.59,  0.59,  0.59
